Date,Grade,Caliper,Width,Tons,Plant
17-Mar-15,CRB,.016,28.750,0.812235417,Hamel
17-Mar-15,CRB,.016,28.750,0.749933268,Hamel
17-Mar-15,CRB,.016,28.750,1.55063125,Hamel
17-Mar-15,CRB,.016,28.750,1.559861198,Hamel
20-Oct-15,CRB,.016,28.750,1.453716797,Hamel
10-Oct-15,CRB,.016,28.750,0.830695313,Hamel
17-Mar-15,CRB,.016,28.750,0.80992793,Hamel
20-Oct-15,CRB,.016,28.750,0.694553581,Hamel
10-Oct-15,CRB,.016,28.750,1.384492188,Hamel
10-Oct-15,CRB,.016,28.750,0.692246094,Hamel
10-Oct-15,CRB,.016,28.750,0.692246094,Hamel
10-Oct-15,CRB,.016,28.750,0.692246094,Hamel
17-Mar-15,CRB,.016,28.750,1.629085807,Hamel
17-Mar-15,CRB,.016,28.750,0.80992793,Hamel
10-Oct-15,CRB,.016,28.750,1.384492188,Hamel
10-Oct-15,CRB,.016,28.750,0.692246094,Hamel
17-Mar-15,CRB,.016,28.750,0.738395833,Hamel
20-Oct-15,CRB,.016,28.750,0.694553581,Hamel
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
28-May-15,CRB,.016,31.375,0.998482821,Newton
30-Jul-15,CRB,.016,31.375,0.828929134,Newton
30-Jul-15,CRB,.016,31.375,1.017322119,Newton
30-Jul-15,CRB,.016,31.375,1.017322119,Newton
30-Jul-15,CRB,.016,31.375,1.017322119,Newton
19-Nov-15,CRB,.016,31.375,1.030006934,Newton
19-Nov-15,CRB,.016,31.375,1.030006934,Newton
19-Nov-15,CRB,.016,31.375,1.030006934,Newton
16-Nov-15,CRB,.016,31.375,1.030006934,Newton
16-Nov-15,CRB,.016,31.375,2.060013867,Newton
19-Nov-15,CRB,.016,31.375,2.060013867,Newton
16-Nov-15,CRB,.016,31.375,1.030006934,Newton
19-Nov-15,CRB,.016,31.375,1.030006934,Newton
26-May-15,CRB,.016,31.375,1.010932731,Newton
26-May-15,CRB,.016,31.375,2.021865462,Newton
26-May-15,CRB,.016,31.375,1.030006934,Newton
26-May-15,CRB,.016,31.375,1.030006934,Newton
26-May-15,CRB,.016,31.375,2.021865462,Newton
26-May-15,CRB,.016,31.375,1.010932731,Newton
26-May-15,CRB,.016,31.375,1.010932731,Newton
26-May-15,CRB,.016,31.375,1.010932731,Newton
16-Nov-15,CRB,.016,31.375,2.060013867,Newton
19-Nov-15,CRB,.016,31.375,1.030006934,Newton
16-Nov-15,CRB,.016,31.375,1.030006934,Newton
16-Nov-15,CRB,.016,31.375,1.030006934,Newton
19-Nov-15,CRB,.016,31.375,0.980414007,Newton
10-Jul-15,CRB,.016,31.375,1.030006934,Newton
08-Jun-15,CRB,.016,31.375,1.030006934,Newton
26-May-15,CRB,.016,31.375,2.021865462,Newton
