Date,Grade,Caliper,Width,Tons,Plant,Mill
8/7/2015,NB,20-0,42.9375,4.813,"GPI-PACIFIC,MO",Middletown
8/7/2015,NB,20-0,49,54.957,"GPI-CHARLOTTE,NC",Middletown
8/7/2015,NB,20-0,49,2.635,"GPI-PACIFIC,MO",Middletown
8/7/2015,NB,20-0,49.625,31.0925,"GPI-FORT SMITH,AR",Kalamazoo
8/7/2015,NB,23-0,38.625,203.4355,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/7/2015,NB,26-1,35.25,22.498,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/7/2015,NB,26-1,36.125,53.2005,"GPI-MISSISSAUGA,ON",Kalamazoo
8/7/2015,NB,26-1,37.75,16.932,"GPI-MITCHELL,SD",Kalamazoo
8/7/2015,NB,26-1,40.75,13.5265,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/7/2015,NB,26-1,42.5,82.185,"GPI-ELK GROVE VILLAGE,IL",Kalamazoo
8/7/2015,NB,26-1,57,40.4535,"GPI-PACIFIC,MO",Kalamazoo
8/7/2015,NB,26-1,63.25,3.3435,"GPI-PACIFIC,MO",Kalamazoo
